data,faturamento_efetivado,faturamento_pendente,qtd_vendas_efetivadas,qtd_vendas_pendentes
2026-12-16,2933.0,0.0,16,0
2026-12-17,2629.0,0.0,10,0
2026-12-18,1046.0,0.0,4,0
2026-12-19,1165.0,0.0,6,0
2026-12-20,100.0,0.0,2,0
2026-12-22,2315.0,0.0,11,0
2026-12-23,4841.0,0.0,20,0
2026-12-24,1856.0,0.0,12,0
2026-12-26,1418.0,0.0,7,0
2026-12-27,15.0,0.0,1,0
2026-12-29,1103.0,0.0,8,0
2026-12-30,3183.0,0.0,12,0
2026-12-31,140.0,0.0,2,0
2027-01-02,144.0,0.0,2,0
2027-01-03,42.0,0.0,0,0
2027-01-05,1768.0,0.0,8,0
2027-01-06,2891.0,0.0,12,0
2027-01-07,3572.0,0.0,9,0
2027-01-08,2457.0,0.0,10,0
2027-01-09,1336.0,0.0,7,0
2027-01-10,28.0,0.0,1,0
2027-01-12,1599.0,0.0,10,0
2027-01-13,4513.0,0.0,16,0
2027-01-14,3273.0,0.0,10,0
2027-01-15,2436.0,0.0,8,0
2027-01-16,2060.0,0.0,6,0
2027-01-17,271.0,0.0,0,0
2027-01-19,1347.0,0.0,5,0
2027-01-20,4840.0,0.0,14,0
2027-01-21,2773.0,0.0,10,0
2027-01-22,2209.0,0.0,6,0
2027-01-23,2068.0,0.0,6,0
2027-01-24,3.0,0.0,0,0
2027-01-26,1361.0,0.0,5,0
2027-01-27,4822.0,0.0,14,0
2027-01-28,1703.0,0.0,7,0
2027-01-29,2705.0,0.0,9,0
2027-01-30,749.0,0.0,6,0
2027-02-02,1518.0,0.0,8,0
2027-02-03,4199.0,0.0,13,0
2027-02-04,2389.0,0.0,7,0
2027-02-05,474.0,0.0,4,0
2027-02-06,3279.0,0.0,8,0
2027-02-07,96.0,0.0,3,0
2027-02-09,1834.0,0.0,10,0
2027-02-10,3680.0,0.0,16,0
2027-02-11,1207.0,0.0,6,0
2027-02-12,960.0,0.0,7,0
2027-02-13,1616.0,0.0,8,0
2027-02-16,1587.0,0.0,4,0
2027-02-17,184.0,0.0,1,0
2027-02-18,3240.0,0.0,11,0
2027-02-19,1438.0,0.0,8,0
2027-02-20,1573.0,0.0,6,0
2027-02-21,70.0,0.0,2,0
2027-02-23,2045.0,0.0,10,0
2027-02-24,4346.0,0.0,14,0
2027-02-25,1136.0,0.0,6,0
2027-02-26,2045.0,0.0,6,0
2027-02-27,1610.0,0.0,12,0
2027-02-28,94.0,0.0,1,0
2027-03-02,3081.0,0.0,10,0
2027-03-03,3659.0,0.0,12,0
2027-03-04,759.0,0.0,4,0
2027-03-05,765.0,0.0,8,0
2027-03-06,1515.0,0.0,5,0
2027-03-09,1769.0,0.0,8,0
2027-03-10,3273.0,0.0,12,0
2027-03-11,1904.0,0.0,10,0
2027-03-12,1123.0,0.0,3,0
2027-03-13,782.0,0.0,6,0
2027-03-16,2971.0,0.0,14,0
2027-03-17,4293.0,0.0,14,0
2027-03-18,1777.0,0.0,7,0
2027-03-19,2320.0,0.0,6,0
2027-03-20,418.0,0.0,4,0
2027-03-23,2803.0,0.0,12,0
2027-03-24,3995.0,0.0,15,0
2027-03-25,1514.0,0.0,8,0
2027-03-26,3189.0,0.0,9,0
2027-03-27,710.0,0.0,8,0
